Image_ID,Count,Area,Avg_size,Area_percent,Mean,Age,Measure,CARS,MBP,Layer
9Y-197-L1-9-Calc-1-1.tif,252,580.068,2.302,17.932,255,9 yrs,CARS,,,L1
9Y-197-L1-8-Calc-1-1.tif,283,538.824,1.904,16.657,255,9 yrs,CARS,,,L1
9Y-197-L1-7-Calc-1-1.tif,281,483.614,1.721,14.951,255,9 yrs,CARS,,,L1
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 12)-1-1.tif,22,153.553,6.98,4.747,255,6mo,MBP,5.029,4.747,L6
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 11)-1-1.tif,47,362.186,7.706,11.197,255,6mo,MBP,11.498,11.197,L6
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 10)-1-1.tif,31,181.116,5.842,5.599,255,6mo,MBP,6.768,5.599,L6
3m-38-L6-3-Calc-1-1.tif,102,162.678,1.595,5.029,255,6mo,CARS,,,L6
3m-38-L6-2-Calc-1-1.tif,163,371.935,2.282,11.498,255,6mo,CARS,,,L6
3m-38-L6-1-Calc-1-1.tif,121,218.926,1.809,6.768,255,6mo,CARS,,,L6
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 09)-1-1.tif,3,29.951,9.984,0.926,255,6mo,MBP,3.596,0.926,L4
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 08)-1-1.tif,5,23.686,4.737,0.732,255,6mo,MBP,4.258,0.732,L4
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 07)-1-1.tif,1,0.068,0.068,0.002,255,6mo,MBP,3.789,0.002,L4
3m-38-L4-3-Calc-1-1.tif,50,116.327,2.327,3.596,255,6mo,CARS,,,L4
3m-38-L4-2-Calc-1-1.tif,34,137.738,4.051,4.258,255,6mo,CARS,,,L4
3m-38-L4-1-Calc-1-1.tif,48,122.569,2.554,3.789,255,6mo,CARS,,,L4
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 06)-1-1.tif,3339,21.706,0.007,0.671,255,6mo,MBP,0.608,0.671,L2
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 05)-1-1.tif,3957,23.999,0.006,0.742,255,6mo,MBP,0.926,0.742,L2
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 04)-1-1.tif,3611,21.774,0.006,0.673,255,6mo,MBP,1.06,0.673,L2
3m-38-L2-3-Calc-1-1.tif,49,19.657,0.401,0.608,255,6mo,CARS,,,L2
3m-38-L2-2-Calc-1-1.tif,2975,29.94,0.01,0.926,255,6mo,CARS,,,L2
3m-38-L2-1-Calc-1-1.tif,3101,34.293,0.011,1.06,255,6mo,CARS,,,L2
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 03)-1-1.tif,0,0,,0,,6mo,MBP,1.108,0,L1
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 02)-1-1.tif,0,0,,0,,6mo,MBP,0.481,0,L1
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 01)-1-1.tif,4556,27.42,0.006,0.848,255,6mo,MBP,0.791,0.848,L1
3m-38-L1-3-Calc-1-1.tif,81,35.842,0.442,1.108,255,6mo,CARS,,,L1
3m-38-L1-2-Calc-1-1.tif,19,15.543,0.818,0.481,255,6mo,CARS,,,L1
3m-38-L1-1-Calc-1-1.tif,45,25.576,0.568,0.791,255,6mo,CARS,,,L1
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 15)-1-1.tif,3244,22.835,0.007,0.706,255,1mo,MBP,1.115,0.706,WM
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 14)-1-1.tif,2446,25.412,0.01,0.786,255,1mo,MBP,0.358,0.786,WM
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 13)-1-1.tif,2654,17.597,0.007,0.544,255,1mo,MBP,0.206,0.544,WM
1w-183-WM-3Calc-1-1.tif,40,36.069,0.902,1.115,255,1mo,CARS,,,WM
1w-183-WM-2Calc-1-1.tif,13,11.571,0.89,0.358,255,1mo,CARS,,,WM
1w-183-WM-1Calc-1-1.tif,15,6.651,0.443,0.206,255,1mo,CARS,,,WM
